Id,PhoneNumber,Description
1,345,عمليات - كركوك
2,122,الاسعاف الفوري
3,115,(الدفاع المدني (اطفاء
4,104,المديرية العامة لشرطة النجدة والدوريات
5,190,عمليات مكافحة الارهاب والاسختبارات - النجف
6,7810432832,الدفاع المدني - النجف
7,5608,شؤون المواطنين - بغداد
8,157,كهرباء الكرخ - بغداد
9,158,كهرباء الرصافة - بغداد
10,1512,كهرباء الصدر - بغداد
11,159,كهرباء كل العراق عدا المنطقة الشمالية - بغداد
12,454,مكافحة الارهاب - بغداد
13,7711915442,وزارة العمل والشؤون الاجتماعية- الشكاوى - بغداد
14,7500993106,وزارة العمل والشؤون الاجتماعية 1 - بغداد
15,7712343320,هيأة التقاعد الوطنية
16,7803773068,صيانة الكهرباء - واسط
17,159,صيانة الكهرباء - واسط
18,154,هيأة النزاهة
19,7504441008,بدالة مكتب رئيس الاقليم
20,662230244,بدالة برلمان كوردستان العراق
21,662231905,بدالة مجلس الوزاء - كوردستان العراق
22,662231576,وزارة التخطيط - كوردستان
23,662232475,وزارة التربية - كوردستان
24,662238015,وزارة الشؤون الاجتماعية - اربيل
25,662233198,وزارة شؤون الشهداء والمؤنفلين - اربيل
26,662231427,وزارة المالية والاقتصاد - كوردستان
27,662273911,وزارة التجارة والصناعة - كوردستان
28,662231440,وزارة الزراعة والموارد المائية - كوردستان
29,662220422,وزارة البلديات والسياحة - كوردستان
30,662272213,وزارة الكهرباء - اربيل
31,662245506,وزارة العدل - كوردستان
32,662231585,وزارة النقل والاتصالات - كوردستان
33,7504497645,وزارة الاوقاف والشؤون الدينية - كوردستان
34,7504496851,وزارة الثقافة والشباب - كوردستان
35,662238015,وزارة الصحة - كوردستان
36,662241976,وزارة البيشمركة - كوردستان
37,75045585270,وزارة الداخلية - كوردستان
38,662232475,وزارة الموارد الطبيعية - كوردستان
39,662222307,وزارة الاعمار - كووردستان
40,7504466602,دائرة العلاقات الخارجية - كوردستان
41,662230118,محافظة اربيل - اربيل
42,662273882,مستشفى رزكاري - اربيل
43,155,مستشفى الجمهوري - اربيل
44,662222465,مستشفى الولادة - اربيل
45,662240089,مستشفى رابرين - اربيل
46,4635,مستشفى ايمرجنسي - اربيل
47,662230607,مستشفى زانياري - اربيل
48,662229714,مستشفى رسول الخاصة - اربيل
49,128,مستشفى هولير الاهلية - اربيل
50,138,مستشفى كوردستان الخاص - اربيل
51,662232144,مستشفى زين الخاص - اربيل
52,662230628,مستشفى الصدرية - اربيل
53,662225656,مستشفى سيما الاهلية - اربيل
54,663505754,مستشفى سوران - اربيل
55,662230607,مستشفى اسكان - اربيل
56,662532225,مستشفى شيفا الاهلية - اربيل
57,662270479,مستشفى دايك الاهلية - اربيل
58,662548301,مستشفى نانكلي - اربيل
59,662230647,رئاسة بلدية اربيل - اربيل
60,662529627,(مديرية بلدية اربيل (1
61,662519908,"(مديرية بلدية اربيل (2
"
62,662572563,"(مديرية بلدية اربيل (3
"
